CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#"Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf), except that a small offset in the fit was allowed.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The primary Salinity:Practical:CTD channel was used for events 0041 and 0043 so it was recalibrated to match the secondary channel which was selected for all other casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140210
STNBR = P1
CASTNO = 1
DATE = 20140211
TIME =  21:14
LATITUDE = 48.57617
LONGITUDE = -125.5045
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,6.7659,2,31.4271,2,289.2,2,57.0,2,1.705,2,71.3,2
4,2,6.7659,2,31.4267,2,289.1,2,56.7,2,1.875,2,57.1,2
5,2,6.7658,2,31.4265,2,288.8,2,56.8,2,2.225,2,48.5,2
6,2,6.7659,2,31.4268,2,289.1,2,57.0,2,1.95,2,41.9,2
7,2,6.7664,2,31.429000000000002,2,289.0,2,57.3,2,1.7919999999999998,2,35.4,2
8,2,6.7662,2,31.4288,2,289.2,2,56.8,2,1.776,2,28.9,2
9,2,6.7659,2,31.4278,2,289.2,2,57.0,2,1.992,2,23.7,2
10,2,6.7661,2,31.4281,2,288.6,2,56.9,2,1.7930000000000001,2,20.5,2
11,2,6.7665,2,31.4285,2,288.7,2,57.0,2,1.6030000000000002,2,18.3,2
12,2,6.7669,2,31.4307,2,288.5,2,57.1,2,1.564,2,16.2,2
13,2,6.7665,2,31.4349,2,288.3,2,57.0,2,1.715,2,14.3,2
14,2,6.7664,2,31.4384,2,287.2,2,57.2,2,1.7480000000000002,2,11.9,2
15,2,6.7664,2,31.4438,2,286.9,2,57.4,2,1.744,2,9.6,2
16,2,6.7667,2,31.445999999999998,2,286.0,2,57.4,2,1.615,2,8.4,2
17,2,6.7674,2,31.4486,2,285.3,2,57.6,2,1.5919999999999999,2,8.0,2
18,2,6.7678,2,31.4502,2,283.2,2,57.5,2,1.6480000000000001,2,7.1,2
19,2,6.7678,2,31.453000000000003,2,282.3,2,57.6,2,1.65,2,6.3,2
20,2,6.7689,2,31.4599,2,283.5,2,57.6,2,1.7280000000000002,2,5.5,2
21,2,6.7748,2,31.482,2,282.9,2,57.5,2,1.5930000000000002,2,4.7,2
22,2,6.7818,2,31.5052,2,281.1,2,57.6,2,1.569,2,4.1,2
23,2,6.7915,2,31.5166,2,277.3,2,58.5,2,1.679,2,3.3,2
24,2,6.8001,2,31.5255,2,277.4,2,58.5,2,1.4969999999999999,2,3.0,2
25,2,6.8098,2,31.5319,2,275.2,2,58.5,2,1.308,2,2.7,2
26,2,6.8292,2,31.5416,2,274.7,2,58.8,2,1.266,2,2.4,2
27,2,6.8453,2,31.5481,2,273.9,2,59.0,2,1.235,2,2.2,2
28,2,6.8823,2,31.5668,2,274.2,2,59.1,2,1.288,2,1.9,2
29,2,6.8916,2,31.5719,2,275.4,2,59.2,2,1.3030000000000002,2,1.6,2
30,2,6.9216,2,31.5908,2,270.1,2,59.3,2,1.194,2,1.4,2
31,2,6.9515,2,31.6113,2,264.0,2,59.3,2,1.2570000000000001,2,1.3,2
